Column1;datetime;username;origin_text;text;like;retweet;reply;neg;neu;pos;compound;sentiment
967;2020-05-07;frockman231;"6.8 Magnitude Earthquake Strikes  Indonesia , USGS Says
  
 
Download The Epoch Times app to see our exclusive  Coronavirus  coverage and daily updates: ";68 magnitude earthquake strikes indonesia usgs says download epoch times app see exclusive coronavirus coverage daily updates;0;0;0;96;846;58;-25;Negative
968;2020-05-07;ronaldoluist;"Oh congrats to  Indonesia , big time. Big. Time.  
BBC News -  Coronavirus : I watched the president reveal I had Covid-19 on TV
 ";oh congrats indonesia big time big time bbc news coronavirus watched president reveal covid19 tv;0;0;0;0;871;129;5267;Positive
969;2020-05-07;Bhnews_eng;"#CORONAVIRUS  update Thu 7th May
World 
 Coronavirus  Cases:
3,805,097
Deaths:
263,353
Recovered:
1,287,590
 #Iran 
 #Turkey  
 #Malaysia 
 #Philippines  
 #Pakistan  
 #SaudiArabia  
 #indonesia  
 #India  
 #Qatar 
 #Algeria  
 #Egypt  
 #Iraq  
 #Morroco 
 #UAE  
 #Bahrain 
 #";coronavirus update thu 7th may world coronavirus cases 3805097 deaths 263353 recovered 1287590 iran turkey malaysia philippines pakistan saudiarabia indonesia india qatar algeria egypt iraq morroco uae bahrain;0;0;0;0;10;0;0;Neutral
970;2020-05-07;shamimahmed_07;Australian expats in  Indonesia  say they have 'moral obligation' to give back during  coronavirus  pandemic  ;australian expats indonesia say moral obligation give back coronavirus pandemic;0;0;0;0;10;0;0;Neutral
971;2020-05-07;covidhealing;"I would like to share with you a good scenario. Those people can return to their homes today, healed from  #CoronaVirus 
243 in  Indonesia   
19 in Sri Lanka  
31 in Portugal  
4 in Saint Kitts and Nevis  
Let's share until we reach zero new infections";would like share good scenario people return homes today healed coronavirus 243 indonesia 19 sri lanka 31 portugal 4 saint kitts nevis lets share reach zero new infections;0;0;0;0;786;214;836;Positive
972;2020-05-07;K_Richy1;"Coronavirus  deaths:
Worldwide: 257,906 (+10,443)

USA: 73,211 (+4,935)

Italy: 29,684 (+800)

India: 1,694 (+321)

 Indonesia : 895 (+50)

South Korea: 255 (+3)

PLEASE SEE THE DIFFERENCES IN GROWTH RATES!

Ill keep updating!  #COVID19   #lockdownextension ";coronavirus deaths worldwide 257906 10443 usa 73211 4935 italy 29684 800 india 1694 321 indonesia 895 50 south korea 255 3 please see differences growth rates  keep updating covid19 lockdownextension;0;0;0;0;822;178;7876;Positive
973;2020-05-07;DRM_Long;Indonesia  Reports Highest Single-Day Rise in  Coronavirus  Cases    via  @thejakartaglobe;indonesia reports highest singleday rise coronavirus cases via thejakartaglobe;0;0;0;0;10;0;0;Neutral
974;2020-05-07;AndrewJMullen;"#coronavirus  mortality rate c.f yesterday:- 
France 19.2->18.82%
Belgium 15.87->16.42%
UK 15.09->14.96%
Italy 13.76->13.84%
NL 12.58->12.59%
Sweden 12.29->12.30%
Hungary 11.84->11.99%
Spain 11.68->11.74%
Algeria 9.71->9.53%
Mexico 9.12->9.63%
 Indonesia  7.22->7.20%
Global 7.01-";coronavirus mortality rate cf yesterday france 1921882 belgium 15871642 uk 15091496 italy 13761384 nl 12581259 sweden 12291230 hungary 11841199 spain 11681174 algeria 971953 mexico 912963 indonesia 722720 global 701;1;0;0;0;10;0;0;Neutral
975;2020-05-07;Sukamto507;The distribution of the  corona virus , or Covid-19, is still spreading throughout the world, even in its own country,  INDONESIA , is still high, it should break the chain of spread, but instead open up and worsen the situation ....;distribution corona virus covid19 still spreading throughout world even country indonesia still high break chain spread instead open worsen situation;2;0;1;1;9;0;-6652;Negative
976;2020-05-07;RNemala;Something to watch!  #Coronavirus  strain in  #Indonesia  different from those of other countries, govt says.  #COVID19 ;something watch coronavirus strain indonesia different countries govt says covid19;0;0;0;9;91;0;-126;Negative
977;2020-05-07;AsianAviation;Coronavirus : All transport services in  Indonesia  resume operations  ;coronavirus transport services indonesia resume operations;0;0;0;0;10;0;0;Neutral
978;2020-05-07;IndonesiaAust;"To prevent a second  #coronavirus  wave,  Indonesia  has no plans to relax 'Large Scale Social Restrictions in designated areas & is preparing ""in-depth analysis"" of ""new normal community behavior"" patterns to be applied post-pandemic - Wiku Adisasmito  ";prevent second coronavirus wave indonesia plans relax large scale social restrictions designated areas preparing indepth analysis new normal community behavior patterns applied postpandemic wiku adisasmito;0;2;0;55;846;1;2023;Positive
979;2020-05-07;dev_discourse;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic  ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
980;2020-05-07;LaFleurDelSur;"Black Mirror ...

Reflection in a doctor's mask outside a mobile testing clinic in Jakarta,  Indonesia .

 #Coronavirus   #dystopian  

  ";black mirror reflection doctors mask outside mobile testing clinic jakarta indonesia coronavirus dystopian;1;0;1;0;10;0;0;Neutral
981;2020-05-07;trendfeed_de;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic   ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
982;2020-05-07;peppertalesllp;Indonesia s Ramadan school moves online amid  coronavirus  epidemic  ;indonesia  ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
983;2020-05-07;rouutnews;"Indonesia  rolls out nearly $25 billion more spending for  coronavirus  
 ";indonesia rolls nearly 25 billion spending coronavirus;0;0;0;0;10;0;0;Neutral
984;2020-05-07;rouut;"Indonesia  rolls out nearly $25 billion more spending for  coronavirus  
 ";indonesia rolls nearly 25 billion spending coronavirus;0;0;0;0;10;0;0;Neutral
985;2020-05-07;Indonesia_forum;Indonesia 's Ramadan School Moves Online Amid  Coronavirus  Epidemic - The New York Times  ;indonesia ramadan school moves online amid coronavirus epidemic new york times;0;0;0;0;10;0;0;Neutral
986;2020-05-07;Indonesia_bali;Indonesia 's Ramadan School Moves Online Amid  Coronavirus  Epidemic - The New York Times  ;indonesia ramadan school moves online amid coronavirus epidemic new york times;0;0;0;0;10;0;0;Neutral
987;2020-05-07;IndonesiaAust;"Based on data submitted by  @eijkman_inst  to  @GISAID , the   #coronavirus  that swept across  Indonesia  is ""different from at least 3 other known SARS-CoV-2 strains"" affecting the world - Research & Technology Minister, Bambang Brodjonegoro.  @KemenristekBRIN ";based data submitted eijkmaninst gisaid coronavirus swept across indonesia different least 3 known sarscov2 strains affecting world research technology minister bambang brodjonegoro kemenristekbrin;0;1;0;59;941;0;-296;Negative
988;2020-05-07;FreddieBass20;Article  Indonesia 's Ramadan school moves online amid  coronavirus  epidemic is now on the  ;article indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
989;2020-05-07;johannesbambang;"Indonesia  Reports Highest Single-Day Rise in  Coronavirus  Cases

Jakarta. Confirmed  coronavirus  cases rose by 484 in  Indonesia  on Tuesday, the highest spike in a day, to take the countrys total to 12,071.

 ";indonesia reports highest singleday rise coronavirus cases jakarta confirmed coronavirus cases rose 484 indonesia tuesday highest spike day take country  total 12071;0;0;0;0;10;0;0;Neutral
990;2020-05-07;deryaqtr;During  Coronavirus , although we needed medical equipment, we extended our help to 34 countries, including our major allies, such as the UK, Italy and Spain. mosque cleaning in  Indonesia  and medication, training of health care workers in Yemen, donations of 3D printers in Suda;coronavirus although needed medical equipment extended help 34 countries including major allies uk italy spain mosque cleaning indonesia medication training health care workers yemen donations 3d printers suda;0;0;3;0;879;121;7096;Positive
991;2020-05-07;parrysingh;"Incredible! That land in the distant horizon is Riau Islands of  Indonesia  clearly visible from Singapore!

But thats how its always been. There were several amazing things visible even before  Corona virus !  ";incredible land distant horizon riau islands indonesia clearly visible singapore   always several amazing things visible even corona virus;35;2;1;0;796;204;8371;Positive
992;2020-05-07;PandachisNews2;"A high fever, nausea and a dreaded dry cough.

Sita Tyasutami had all the tell-tale symptoms of  coronavirus . Yet, as she lay in a hospital bed in  Indonesia 's capital Jakarta, her condition had not been diagnosed.  ";high fever nausea dreaded dry cough sita tyasutami telltale symptoms coronavirus yet lay hospital bed indonesia capital jakarta condition diagnosed;0;0;0;89;911;0;-5719;Negative
993;2020-05-07;BillEllson;"Indonesia  Announces 367 New  Coronavirus  Cases as Public Transportation Set to Resume Service 
 #COVID   #Covid_19   #COVID__19   #COVID19indonesia    #Corona   #coronavirus   #CoronavirusIndonesia ";indonesia announces 367 new coronavirus cases public transportation set resume service covid covid19 covid19 covid19indonesia corona coronavirus coronavirusindonesia;0;1;0;0;10;0;0;Neutral
994;2020-05-07;BillEllson;"Coronavirus  strain in  Indonesia  different from those of other countries, govt says 
 #COVID   #Covid_19   #COVID__19   #COVID19indonesia    #Corona   #coronavirus   #CoronavirusIndonesia ";coronavirus strain indonesia different countries gov  says covid covid19 covid19 covid19indonesia corona coronavirus coronavirusindonesia;0;1;0;62;938;0;-516;Negative
995;2020-05-07;BillEllson;"Indonesia  warns on COVID-19 poverty setback as regional elections postponed 
 #COVID   #Covid_19   #COVID__19   #COVID19indonesia    #Corona   #coronavirus   #CoronavirusIndonesia ";indonesia warns covid19 poverty setback regional elections postponed covid covid19 covid19 covid19indonesia corona coronavirus coronavirusindonesia;1;2;0;317;683;0;-6705;Negative
996;2020-05-07;patsy_palmer;@darrenadam   @LBC  hey this is Paul, an English teaching living in Bali. Due to the  Coronavirus  stay at home policy here in Bali,  Indonesia , I have been forced to teach from home.  Are wifi extenders worth using to improve wifi signals? Thanks, Paul;darrenadam lbc hey paul english teaching living bali due coronavirus stay home policy bali indonesia forced teach home wifi extenders worth using improve wifi signals thanks paul;0;0;0;59;789;152;5719;Positive
997;2020-05-07;bcnn1;Indonesian  Churches Working Hard to Bring Aid to Flooded  Coronavirus  Epicenter, Jakarta  ;indonesian churches working hard bring aid flooded coronavirus epicenter jakarta;0;0;0;113;887;0;-1027;Negative
998;2020-05-07;AndyVermaut;Coronavirus : debt and poverty threaten a hydra-headed Covid crisis in  Indonesia    ;coronavirus debt poverty threaten hydraheaded covid crisis indonesia;0;0;0;581;419;0;-91;Negative
999;2020-05-07;OffersInvesting;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic    Reuters;indonesia ramadan school moves online amid coronavirus epidemic reuters;0;0;0;0;10;0;0;Neutral
1000;2020-05-07;asstry2;"A Letter From The Earth    
Vidio by  @q_think  Narasi by me  @asstry2  

 @NASA   @nature   @NASAEarth  

 #earth   #COVID19   #coronavirus   #StaySafe   #Indonesia   #China   #nature ";letter earth vidio qthink narasi asstry2 nasa nature nasaearth earth covid19 coronavirus staysafe indonesia china nature;9;3;0;0;10;0;0;Neutral
1001;2020-05-07;TodayWold;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic  ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
1002;2020-05-07;jakpost;Shortages in key commodities have been reported in most of  Indonesia s 34 provinces as the nation copes with the double whammy of the  coronavirus  outbreak causing supply chain disruption and a dry spell hurting harvests.  #jakpost ;shortages key commodities reported indonesia  34 provinces nation copes double whammy coronavirus outbreak causing supply chain disruption dry spell hurting harvests jakpost;23;19;1;167;833;0;-7003;Negative
1003;2020-05-07;notimania_com;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic   ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
1004;2020-05-07;remilekun42;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic    Each year during the fasting month of Ramadan,  Indonesian  tutor Ahmad Winardi has taught a special course for students in the world's biggest Muslim-majority count  ;indonesia ramadan school moves online amid coronavirus epidemic year fasting month ramadan indonesian tutor ahmad winardi taught special course students worlds biggest muslimmajority count;0;0;0;0;928;72;4019;Positive
1005;2020-05-07;LokiiDaMensa;"Things that have happened this year
- Australia fires
-Flood hit  indonesia 
-Kashmir avalanche
-Philippines Volcano eruption 
- Coronavirus  outbreak
-Locusts in Africa
-Kobe Byrants death
- and now killer wasps that are almost a 8 inches long are coming for us :)";things happened year australia fires flood hit indonesia kashmir avalanche philippines volcano eruption coronavirus outbreak locusts africa kobe byrants death killer wasps almost 8 inches long coming us;2;1;1;16;781;59;-7351;Negative
1006;2020-05-07;Abulhas86288905;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic  ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
1007;2020-05-07;cdroundtable;"Volunteers clad as Superman and Spider-Man sprayed disinfectant against the  coronavirus  on  Indonesia s island of Java, flanking a colleague wearing the winged helmet of local superhero Gatotkaca who shouted, œWear masks, wash hands and stay alert.
 ";volunteers clad superman spiderman sprayed disinfectant coronavirus indonesia  island java flanking colleague wearing winged helmet local superhero gatotkaca shouted œ wear masks wash hands stay alert ;0;0;0;0;10;0;0;Neutral
1008;2020-05-07;SlowAlpian;Updates on the Covid-19 situation in  Indonesia   #coronavirus   ;updates covid19 situation indonesia coronavirus;0;0;0;0;10;0;0;Neutral
1009;2020-05-07;tragedinews;t Updates on the Covid-19 situation in  Indonesia   #coronavirus   ;updates covid19 situation indonesia coronavirus;0;0;0;0;10;0;0;Neutral
1010;2020-05-07;uniqueberozgaar;"The present cm is a Moreno and ineffective, Lacks administration skills,  @ncbn  should have been the CM. 

Whats wrong with 2020 ?!
Australian Bush Fires
 Corona Virus  Pandemic
Iran shooting down Ukraine Plane
 Indonesia  Floods
Now, Vizag Gas Leak

 #VizagGasLeak";present cm moreno ineffective lacks administration skills ncbn cm  wrong 2020 australian bush fires corona virus pandemic iran shooting ukraine plane indonesia floods vizag gas leak vizaggasleak;0;0;1;165;835;0;-7424;Negative
1011;2020-05-07;ririnsaf;"""Updates on the Covid-19 situation in  Indonesia ""  #coronavirus   ";updates covid19 situation indonesia coronavirus;0;0;0;0;10;0;0;Neutral
1012;2020-05-07;AsiaSocietyAus;"""It is a country of the future: it will remember who was with it at its moment of greatest crisis"" -  @AsiaPolicy  Senior Fellow Richard Maude in  @SCMPNews  today on how regional partners like  #Australia  can help  #Indonesia  battle  #coronavirus  and rebuild. 

 ";country future remember moment greatest crisis asiapolicy senior fellow richard maude scmpnews today regional partners like australia help indonesia battle coronavirus rebuild;11;12;0;126;697;177;4019;Positive
1013;2020-05-07;YoursSridhar;"2020 so far:
1.  Indonesia   #BanjirJakarta   #NatunaMemanggilMenhan  
2. Australia  #AustraliaOnFire   #PrayForAustralia  
3. USA issues  #WorldWarThree  
4.  Indonesia   #Gempa  
5.  #Coronavirus 
6. Delhi  #EarthQuake 
7. Vishakapatnam  #VizagGasLeak  

We can call 2020 as a d";2020 far 1 indonesia banjirjakarta natunamemanggilmenhan 2 australia australiaonfire prayforaustralia 3 usa issues worldwarthree 4 indonesia gempa 5 coronavirus 6 delhi earthquake 7 vishakapatnam vizaggasleak call 2020;17;21;2;0;10;0;0;Neutral
1014;2020-05-07;diplomacy_india;New post ( Coronavirus  to delay  Indonesia 's regional elections) has been published on Indian Diplomacy -   ;new post coronavirus delay indonesia regional elections published indian diplomacy;0;0;0;119;881;0;-3182;Negative
1015;2020-05-07;DailyFX;The  $ USD  may rise against the Singapore Dollar, Philippine Peso, Malaysian Ringgit and  Indonesian  Rupiah if US-China trade war fears resurface amid  coronavirus -stricken GDP. Get your market update from  @ddubrovskyFX  here:   ;usd may rise singapore dollar philippine peso malaysian ringgit indonesian rupiah uschina trade war fears resurface amid coronavirus stricken gdp get market update ddubrovskyfx;4;2;0;244;756;0;-875;Negative
1016;2020-05-07;AP;PHOTO GALLERY: Animals at a closed zoo in  Indonesia  are depending on helping hands amid the  coronavirus  pandemic.  ;photo gallery animals closed zoo indonesia depending helping hands amid coronavirus pandemic;120;43;12;0;891;109;296;Positive
1017;2020-05-07;takeprofit2000;The  $ USD  may rise against the Singapore Dollar, Philippine Peso, Malaysian Ringgit and  Indonesian  Rupiah if US-China trade war fears resurface amid  coronavirus -stricken GDP. Get your market update     ;usd may rise singapore dollar philippine peso malaysian ringgit indonesian rupiah uschina trade war fears resurface amid coronavirus stricken gdp get market update;0;0;0;27;73;0;-875;Negative
1018;2020-05-07;btcnasia;PHOTO GALLERY: Animals at a closed zoo in  Indonesia  are depending on helping hands amid the  coronavirus  pandemic.     @AP;photo gallery animals closed zoo indonesia depending helping hands amid coronavirus pandemic ap;0;1;0;0;896;104;296;Positive
1019;2020-05-07;jakpost;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic  #jakpost ;indonesia ramadan school moves online amid coronavirus epidemic jakpost;6;2;0;0;10;0;0;Neutral
1020;2020-05-07;steelguru;Vale  Indonesia  holds Mass Rapid Test for All Employees & Contractors    via  @YouTube   #Coronavirus   #COVID -19  #CoronavirusOutbreak   #CoronavirusLockdown   #COVID -19;vale indonesia holds mass rapid test employees contractors via youtube coronavirus covid 19 coronavirusoutbreak coronaviruslockdown covid 19;0;0;0;0;10;0;0;Neutral
1021;2020-05-07;UCANews;"Indonesian  Catholic dioceses support medical staff and volunteers by giving them medical equipment to fight Covid-19
Read more   

 #Indonesia   #Catholic   #Medical   #COVID19   #Coronavir";indonesian catholic dioceses support medical staff volunteers giving medical equipment fight covid19 read more indonesia catholic medical covid19 coronavir;0;0;0;91;732;178;3612;Positive
1022;2020-05-07;ucanindia;"Indonesian  Catholic dioceses support medical staff and volunteers by giving them medical equipment to fight Covid-19
Read more   

 #Indonesia   #Catholic   #Medical   #COVID19   #Coronavir";indonesian catholic dioceses support medical staff volunteers giving medical equipment fight covid19 read more indonesia catholic medical covid19 coronavir;0;0;0;91;732;178;3612;Positive
1023;2020-05-07;UCANSriLanka;"Indonesian  Catholic dioceses support medical staff and volunteers by giving them medical equipment to fight Covid-19
Read more   

 #Indonesia   #Catholic   #Medical   #COVID19   #Coronavir";indonesian catholic dioceses support medical staff volunteers giving medical equipment fight covid19 read more indonesia catholic medical covid19 coronavir;0;1;0;91;732;178;3612;Positive
1024;2020-05-07;ucanindonesia;"Indonesian  Catholic dioceses support medical staff and volunteers by giving them medical equipment to fight Covid-19
Read more   

 #Indonesia   #Catholic   #Medical   #COVID19   #Coronavir";indonesian catholic dioceses support medical staff volunteers giving medical equipment fight covid19 read more indonesia catholic medical covid19 coronavir;0;0;0;91;732;178;3612;Positive
1025;2020-05-07;H_e_r_o4;The  coronavirus  outbreak has forced  Indonesia  to delay its simultaneous regional elections slated for Sept. 23 that would reach more than 100 million of voters.;coronavirus outbreak forced indonesia delay simultaneous regional elections slated sept 23 would reach 100 million voters;0;0;0;187;775;39;-6369;Negative
1026;2020-05-07;DuxxFrankie;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic   ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
1027;2020-05-07;pami3y_evilcode;"PamyBot:~$ #forex   #fxDailyFX  ""The  $ USD  may rise against the Singapore Dollar, Philippine Peso, Malaysian Ringgit and  Indonesian  Rupiah if US-China trade war fears resurface amid  coronavirus -stricken GDP. Get your market update from ddubrovskyFX here:    """;pamybot forex fxdailyfx usd may rise singapore dollar philippine peso malaysian ringgit indonesian rupiah uschina trade war fears resurface amid coronavirus stricken gdp get market update ddubrovskyfx ;0;0;0;222;778;0;-875;Negative
1028;2020-05-07;banglanews_eng;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic Each year during the fasting month of Ramadan,  Indonesian  tutor Ahmad Winardi has taught a special course for students in the world's biggest Muslim-majority country to deepen their knowledge of Islam.;indonesia ramadan school moves online amid coronavirus epidemic year fasting month ramadan indonesian tutor ahmad winardi taught special course students worlds biggest muslimmajority country deepen knowledge islam;0;0;0;0;935;65;4019;Positive
1029;2020-05-07;barkarism;"Imagine this, but with  Indonesian  Leaders' responses on the  corona virus  case

The ad trump is suing to stop from being broadcast around the nation    via  @9GAG";imagine indonesian leaders responses corona virus case ad trump suing stop broadcast around nation via 9gag;0;0;0;173;827;0;-6652;Negative
1030;2020-05-07;UKCovid;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic  ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
1031;2020-05-07;XHNews;Virus knows no borders. Countries should cooperate more than ever to curb the global spread of  #COVID19 , says Hasbullah Thabrany, a public health professor at University of  Indonesia .  #coronavirus   ;virus knows borders countries cooperate ever curb global spread covid19 says hasbullah thabrany public health professor university indonesia coronavirus;89;29;17;68;932;0;-296;Negative
1032;2020-05-07;Businessideas42;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic  ;indonesia ramadan school moves online amid coronavirus epidemic;0;0;0;0;10;0;0;Neutral
1033;2020-05-07;JoeTiw;Stay Home and stay safe   #corona   #covid   #coronavirus   # stayhome   #virus   #quarantine   #staysafe   #love   #lockdown   # dirumahaja   #s   # stayathome   #memes   #instagram   #socialdistancing   #coronamemes   #india   #d   #k   #like   #instagood   #viruscorona   #foll;stay home stay safe corona covid coronavirus stayhome virus quarantine staysafe love lockdown dirumahaja stayathome memes instagram socialdistancing coronamemes india k like instagood viruscorona foll;3;1;0;0;745;255;8625;Positive
1034;2020-05-07;i_am_jat_;"- Corona Virus ..
-Turkey Earthquakes....
-Australian Deadly Bushfires..
- Indonesian  Floods..
-Visakhapatnam Gas Tragedy...

2020 is really against Humanity!!

  #VizagGasLeak";corona virus turkey earthquakes australian deadly bushfires indonesian floods visakhapatnam gas tragedy 2020 really humanity vizaggasleak;2;1;0;199;801;0;-717;Negative
1035;2020-05-07;comedibanda;"Coronavirus  pandemic. ...Australian bushfire. ...Ukrainian jetliner crash in Iran. ...Devastating floods in  Indonesia . ...Communal riots in Delhi. ...Taal volcano eruption. ...Death of Kobe Bryant in helicopter crash , #VizagGasLeak 

Me to 2020 : ";coronavirus pandemic australian bushfire ukrainian jetliner crash iran devastating floods indonesia communal riots delhi taal volcano eruption death kobe bryant helicopter crash vizaggasleak 2020;42;28;3;368;632;0;-9509;Negative
1036;2020-05-07;USINDO;Coronavirus  strain in  Indonesia  different from those of other countries, govt says.  @jakpost   #USINDODailyNews ;coronavirus strain indonesia different countries govt says jakpost usindodailynews;0;0;0;85;915;0;-516;Negative
1037;2020-05-07;FromTiburon;""" Indonesia 's Ramadan School Moves Online Amid  Coronavirus  Epidemic"" by Reuters via NYT  ";indonesia ramadan school moves online amid coronavirus epidemic reuters via nyt;0;0;0;0;10;0;0;Neutral
1038;2020-05-07;USINDO;Indonesia 's Ramadan school moves online amid  coronavirus  epidemic.  @Reuters   #USINDODailyNews ;indonesia ramadan school moves online amid coronavirus epidemic reuters usindodailynews;0;0;0;0;10;0;0;Neutral
1039;2020-05-07;oswaldazumah;"Sita Tyasutami had all the tell-tale symptoms of  coronavirus . Yet, as she lay in a hospital bed in  Indonesia s capital Jakarta, her condition had not been diagnosed.
 @Joy997FM ";sita tyasutami telltale symptoms coronavirus yet lay hospital bed indonesia  capital jakarta condition diagnosed joy997fm;0;0;0;0;10;0;0;Neutral
1040;2020-05-07;itsintrovert;"Coronavirus  pandemic.
Australian bushfire.
Devastating floods in  Indonesia .
Communal riots in Delhi.
Taal volcano eruption.
Earthquakes in Turkey and the Caribbean.
Now ,Gas leak in Vizag.
 #Vizag   #COVID%E3%83%BC19   #Visakhapatnam 
 
God be like:- ";coronavirus pandemic australian bushfire devastating floods indonesia communal riots delhi taal volcano eruption earthquakes turkey caribbean gas leak vizag vizag covide383bc19 visakhapatnam god like;3;0;0;235;657;108;-7506;Negative
1041;2020-05-07;Koulsuneel;#coronavirus   #bushfire   #Ukrainian  plane  #crash   #DelhiRiots   #floods   #Indonesia   #Locusts   #riplegends  (Bryant,Rishi,Irrfan) & now  #StyreneGasLeak .  @SrBachchan  you had rightly hoped for a re-boot of 2020.  #YearOfCurse  or A  #CleanUp .  #forgive  us  #Lord   #Bh;coronavirus bushfire ukrainian plane crash delhiriots floods indonesia locusts riplegends bryantrishiirrfan styrenegasleak srbachchan rightly hoped reboot 2020 yearofcurse cleanup forgive us lord bh;0;0;0;7;807;122;25;Positive
1042;2020-05-07;CarnageMovie;PHOTO GALLERY: Animals at a closed zoo in  Indonesia  are depending on helping hands amid the  coronavirus  pandemic.  ;photo gallery animals closed zoo indonesia depending helping hands amid coronavirus pandemic;0;0;0;0;885;115;296;Positive
1043;2020-05-07;STcom;Coronavirus :  Indonesian  zoos appeal for funds to feed and care for hungry animals  ;coronavirus indonesian zoos appeal funds feed care hungry animals;6;5;0;0;814;186;4939;Positive
1044;2020-05-07;STForeignDesk;Coronavirus :  Indonesian  zoos appeal for funds to feed and care for hungry animals  ;coronavirus indonesian zoos appeal funds feed care hungry animals;0;0;0;0;802;198;4939;Positive
1045;2020-05-07;DriafranstI;"I read about that!
 Corona virus  cases in  Indonesia  hit new high,, 14.000 cases !
At this point, none of us really need a reminder to wash our hands properly or self quarantine in order to slow the spread of the  coronavirus . Just staying safe during the lockdown and rock on!";read corona virus cases indonesia hit new high 14000 cases point none us really need reminder wash hands properly self quarantine order slow spread coronavirus staying safe lockdown rock;1;0;0;0;931;69;5826;Positive
1046;2020-05-07;NewsIn_Asia;"#Coronavirus :  #Indonesian  zoos appeal for  #Funds  to  #Feed  and  #Care  for  #Hungry   #Animals  -   

 #COVID19   #Indonesia   #Zoo ";coronavirus indonesian zoos appeal funds feed care hungry animals covid19 indonesia zoo;0;0;0;0;849;151;4939;Positive
1047;2020-05-07;TostevinM;Indonesia  just reported 35 more  #coronavirus  deaths - the highest number in a single day for nearly two weeks. That brings the total official toll to 930 although health experts believe the real figure is much higher.;indonesia reported 35 coronavirus deaths highest number single day nearly two weeks brings total official toll 930 although health experts believe real figure much higher;14;16;0;0;965;35;772;Positive
1048;2020-05-07;dev_discourse;Indonesia  reports 338 new  coronavirus  cases, 35 deaths- health ministry official  ;indonesia reports 338 new coronavirus cases 35 deaths health ministry official;0;0;0;0;10;0;0;Neutral
1049;2020-05-07;Covid19Update24;"UPDATES :  INDONESIA 

           Total   7 May  6 May  5 May

Cases   12,776   338    367    484

Recover 2,381    64     120    243

Death      930     35       23        8

 #coronavirus  
 #COVID19indonesia   
 #CoronaVirusUpdate  
 #COVID19Update";updates indonesia total 7 may 6 may 5 may cases 12776 338 367 484 recover 2381 64 120 243 death 930 35 23 8 coronavirus covid19indonesia coronavirusupdate covid19update;5;4;0;122;878;0;-5994;Negative
1050;2020-05-07;saavi0518;"Tragedies in 2020 till date
 Coronavirus 
Australian Bushfire
Ukrainian jetliner crash in Iran
Devastating floods in  Indonesia 
Communal riots in Delhi
Valcano erruption in Philippines
Earthquake in Turkey
Locust swam in East Africa
Gas plant exposion in Nigeria
Gas Leak in Viza";tragedies 2020 till date coronavirus australian bushfire ukrainian jetliner crash iran devastating floods indonesia communal riots delhi valcano erruption philippines earthquake turkey locust swam east africa gas plant exposion nigeria gas leak viza;0;0;0;297;703;0;-9393;Negative
1051;2020-05-07;Covid19Update24;"ASEAN Highest New Cases Today,

                  Cases              Deaths
Singapore  20,939 +741    20 +2
 Indonesia    12,776 +338   930 +35
Philippines 10,343 +339   685 +27
Malaysia       6,467 +39    107 +0
Thailand       2,992  +3       55 +0

 #Coronavirus 
 #coronavirusu";asean highest new cases today cases deaths singapore 20939 741 20 2 indonesia 12776 338 930 35 philippines 10343 339 685 27 malaysia 6467 39 107 0 thailand 2992 3 55 0 coronavirus coronavirusu;27;24;0;0;10;0;0;Neutral
1052;2020-05-07;Parlay_Plus;"Plenty of  #TableTennis   #Soccer  &  #MMA  action now available at   

 # Bitcoin   # BTC   #COVID19   # StayHome   #GamblingTwitter   #Crypto   #bored   #Japan   #livestream   #Live   #Isolation   #gaming   #ETH   #USA   #sunrise   #Moscow   #CryptoNews   #";plenty tabletennis soccer mma action available bitcoin btc covid19 stayhome gamblingtwitter crypto bored japan livestream live isolation gaming eth usa sunrise moscow cryptonews;3;2;1;138;862;0;-5859;Negative
